DateID,ProductID,StoreID,CustomerID,QuantityOrderded,OrderAmount,DiscountAmount,Shipping Cost,TotalAmount
20240728,631,15,956,10,141,5.347248574647061,11.08499327595335,124.5677581493996
20240728,60,15,864,4,114,5.7778488679436,9.69772236420554,98.52442876785086
20240728,820,15,817,15,383,23.796489973446157,30.859519176010608,328.34399085054326
20240728,729,15,79,3,429,14.918429834482604,41.247680717913845,372.83388944760355
20240728,106,15,513,15,613,24.291303839188515,74.2510073090314,514.4576888517801
20240728,775,15,711,18,660,85.18796717913969,36.60048365250734,538.211549168353
20240728,382,15,493,4,354,8.601623756651723,24.639244779940398,320.75913146340787
20240728,556,15,168,18,343,49.2874493793949,49.85516847863444,243.85738214197067
20240728,730,15,115,14,123,5.80902457659966,8.213997822368519,108.97697760103182
20240728,244,15,69,12,603,59.69540956615593,53.565396493163064,489.739193940681
20240728,769,15,962,19,270,35.71587663513666,14.727051846305345,219.557071518558
20240728,204,15,910,14,783,79.32813958039102,113.149109974396,590.522750445213
20240728,560,15,666,3,980,121.06870312354255,130.8382074760345,728.093089400423
20240728,428,15,307,8,882,59.46416546422827,124.28375665327002,698.2520778825017
20240728,535,15,949,10,508,52.60050703061766,51.78613058537001,403.61336238401236
20240728,438,15,363,11,551,47.64989500656114,38.12597052039634,465.2241344730425
20240728,431,15,824,14,326,38.44809657900567,44.818209541928844,242.73369387906547
20240728,51,15,352,16,794,102.47009893431046,88.0019935365793,603.5279075291103
20240728,816,15,584,2,726,99.0865767638256,63.592879594299966,563.3205436418745
20240728,24,15,723,11,471,42.00413057636647,63.25153034494937,365.74433907868416
20240728,925,15,923,19,488,30.60379775327515,65.9484882200406,391.44771402668425
20240728,562,15,643,14,171,5.781744053485199,11.248462015256809,153.96979393125798
20240728,787,15,428,4,658,25.50633359964659,75.37484996994246,557.1188164304109
20240728,199,15,637,10,301,32.744112840364,19.841648920765945,248.41423823887004
20240728,120,15,494,6,838,30.634397441436647,72.50453444671912,734.8610681118442
20240728,258,15,973,20,419,26.193590346498734,24.564348732904982,368.24206092059626
20240728,308,15,793,13,564,47.499037537593594,65.50564699141049,450.99531547099593
20240728,255,15,110,8,999,146.3538417330107,99.15915621587342,753.4870020511158
20240728,856,15,262,19,666,96.22967112472202,91.60690138712442,478.16342748815356
20240728,365,15,667,11,438,24.1390991201529,55.665698950068126,358.195201929779
20240728,727,15,388,17,421,19.441615643276666,52.2134971509544,349.34488720576894
20240728,68,15,475,11,243,16.068939231213577,25.302252090114166,201.62880867867227
20240728,302,15,523,1,664,56.20054128106834,86.71399228278669,521.085466436145
20240728,510,15,374,14,754,28.017366682213343,49.847480446217546,676.1351528715691
20240728,10,15,362,16,403,55.81592153975406,42.96149860983904,304.2225798504069
20240728,737,15,420,13,495,32.4519519844115,35.99464844137227,426.5533995742162
20240728,88,15,995,4,846,82.93053118512945,101.55036751985213,661.5191012950183
20240728,990,15,149,2,507,65.35787624599605,29.7806654403142,411.86145831368975
20240728,745,15,887,4,930,96.82222714164625,50.91418768659328,782.2635851717605
20240728,645,15,786,20,854,126.08514343108497,115.1886215169404,612.7262350519746
20240728,71,15,658,6,835,107.88009815491998,70.94140731266504,656.178494532415
20240728,449,15,825,15,239,7.029103862459425,15.51291813145153,216.45797800608904
20240728,939,15,805,5,513,63.35893847945883,37.95194187485432,411.68911964568684
20240728,337,15,121,20,757,42.38473589838092,73.54412966192076,641.0711344396983
20240728,759,15,218,1,824,104.1637428294763,44.91500406448728,674.9212531060364
20240728,340,15,592,4,872,95.06435194698729,62.77804090623881,714.1576071467739
20240728,978,15,108,9,483,33.94464192108455,31.79293753576682,417.2624205431486
20240728,145,15,40,18,932,24.436613469359934,54.598372580097404,852.9650139505427
20240728,64,15,162,1,853,104.74219672469411,114.95592972974914,633.3018735455568
20240728,218,15,63,7,824,57.06898436555544,64.1103099611077,702.8207056733369
20240728,447,15,422,14,323,35.61351226866188,40.35363619266117,247.03285153867694
20240728,949,15,839,3,191,19.561304173042256,9.682921060592843,161.7557747663649
20240728,801,15,935,2,873,25.501548563300013,109.20180229707233,738.2966491396277
20240728,801,15,960,13,228,17.423429669477887,13.143698609889656,197.43287172063245
20240728,453,15,313,14,698,58.66830739087788,41.091332523210305,598.2403600859118
20240728,908,15,137,3,808,29.57950393857225,85.84298655353035,692.5775095078974
20240728,170,15,464,10,712,83.70987065067214,97.86643464197557,530.4236947073523
20240728,839,15,608,10,862,22.068460700297127,58.804732899628426,781.1268064000744
20240728,323,15,713,20,912,79.83840602962104,101.49147065229882,730.6701233180802
20240728,486,15,561,9,173,11.113058039317718,15.932144221980607,145.95479773870167
20240728,282,15,226,3,316,40.5100738008377,43.15027168643127,232.33965451273104
20240728,635,15,754,4,316,14.953535130184061,31.391123835012454,269.6553410348035
20240728,563,15,399,8,999,70.64720218626556,133.61123336248656,794.7415644512479
20240728,812,15,732,7,423,31.730858597197418,46.018938891249235,345.2502025115533
20240728,814,15,135,13,251,27.827853972819288,24.221954331812398,198.95019169536832
20240728,101,15,972,6,579,12.472409938679105,61.06397128963282,505.46361877168806
20240728,144,15,206,6,659,57.20872458855358,95.5047933886076,506.2864820228388
20240728,416,15,344,2,487,39.63574713489534,35.76784900093606,411.59640386416856
20240728,231,15,200,6,392,33.6489107764363,46.31412161479063,312.03696760877307
20240728,784,15,947,14,860,87.53266961944419,52.840106031938795,719.627224348617
20240728,690,15,543,19,998,102.63516550662403,79.2659737079432,816.0988607854327
20240728,386,15,260,1,833,53.94134760418937,87.31466801101386,691.7439843847967
20240728,105,15,476,3,244,30.657796157031967,22.25207045641543,191.0901333865526
20240728,592,15,49,1,791,50.713016675201644,52.003904386065415,688.283078938733
20240728,822,15,900,14,407,35.803049515441906,51.79788570107085,319.39906478348723
20240728,164,15,201,12,616,48.49844176055232,48.48927094847385,519.0122872909739
20240728,502,15,828,5,406,15.803757616088555,50.85495611680064,339.34128626711083
20240728,44,15,505,4,389,30.398081728248457,24.2542662429136,334.34765202883796
20240728,267,15,542,16,173,23.96516567879775,16.267302826219826,132.76753149498242
20240728,111,15,359,6,256,18.20562922607417,30.040980581812494,207.75339019211333
20240728,461,15,78,13,702,98.90671971919475,103.33681126037335,499.7564690204319
20240728,375,15,836,13,118,15.572517797456502,10.879641361585414,91.54784084095809
20240728,790,15,366,12,579,29.12005880056122,61.49318252927758,488.3867586701612
20240728,646,15,294,16,768,86.92329271548809,42.931969955733756,638.1447373287781
